Protein 1,Protein 2,relation,ACTUAL protein 1,Actual protein 2,PubMedID,Sentence
C-C motif chemokine 7,Macrophage metalloelastase,unknown,C-C motif chemokine 7,Macrophage metalloelastase,18657071,"We find a hierarchical requirement for cytoplasmic lysine residues in internalization and turnover, and a single position-specific lysine is sufficient for degradation, surface removal and attachment of oligoubiquitin chains."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,19843541,Our results demonstrate an influence of SUMOylation on the multistep aggregation process of ATXN7 and implicate a role for ATXN7 SUMOylation in SCA7 pathogenesis.
Fms-related tyrosine kinase 3 ligand,Interleukin-2,unknown,Fms-related tyrosine kinase 3 ligand,Interleukin-2,10347175,These findings suggest that the synergy between SLP-76 and Vav in regulating IL-2 gene expression reflects the cooperation between different signaling pathways.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,activates,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,28216227,"Second, we introduced telomeric DNA injury by using Flag-TRF1-Fok1 endonuclease to cut telomeres specifically or by treating cells with low and high levels of the DNA polymerase inhibitor aphidicolin, which could induce fragile telomeres, an indicator of replication folk stall."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,18356536,"Treatment with PAF results in rapid dephosphorylation of Akt, phosphoinositide-dependent kinase-1, and the YXXM p85 binding motif of several proteins and redistribution of Akt-pleckstrin homology domain-green fluorescent protein, i.e., an in vivo phosphatidylinositol (3,4,5)-trisphosphate sensor, from membrane to cytosol."
C-C motif chemokine 7,C-X-C motif chemokine 9,unknown,C-C motif chemokine 7,C-X-C motif chemokine 9,19363486,"S2b), and reducing Cdk5 expression by shRNA knockdown also significantly inhibited neuroblastoma cell migration (Supplementary Information, Fig."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,22939628,Neuronal Ca2+ influx is mediated through voltage-gated channels and/or receptor-operated channels activated by neurotransmitters.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,10512884,LAS17 is an allele-specific multicopy suppressor of ARP2 and ARP3 mutations; overexpression restores both actin patch organization and endocytosis defects in ARP2 temperature-sensitive (ts) cells.
Interleukin-15,Interleukin-2,unknown,Interleukin-15,Interleukin-2,9199305,The interleukin-2 IL-2 receptor beta-chain (IL-2Rbeta) is an essential component of the receptors for IL-2 and IL-15.
Interleukin-2,Lymphotoxin-alpha,unknown,Interleukin-2,Lymphotoxin-alpha,9199305,"Although IL-2Rbeta is constitutively expressed by lymphocytes, its expression can be further induced by a number of stimuli, including phorbol 12-myristate 13-acetate (PMA)."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,10753746,RESULTS: A novel 70 kDa protein called Partner of Inscuteable (Pins) and a heterotrimeric G-protein alpha subunit were found to bind specifically to the functional domain of Inscuteable in vivo.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,9949196,Expression of human alpha-l-fucosyltransferase gene homologs in monkey kidney COS cells and modification of potential fucosyltransferase acceptor substrates by an endogenous glycosidase.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,23372810,"However, recombinant Est1 protein is not degraded or ubiquitinated by the APC in vitro, suggesting that Est1p either lacks the necessary structure or modification(s) that influence APC recognition in vivo or is an indirect target of the APC."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,binds,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,26002084,"CPAP/Sas-4 can interact with tubulin and is required to recruit the centriole MTs to the outer region of the cartwheel, possibly working together with Cep135/Bld10 --although no homologue of this protein has been identified in worms, and it does not appear to be essential for centriole duplication in flies."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,11687965,"In an attempt to find an effective treatment, we examined the efficacy of the non-steroidal anti-inflammatory drug, flurbiprofen, to suppress the growth of tumor cell lines derived from medulloblastoma and glioblastoma multiforme."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11687965,"In an attempt to find an effective treatment, we examined the efficacy of the non-steroidal anti-inflammatory drug, flurbiprofen, to suppress the growth of tumor cell lines derived from medulloblastoma and glioblastoma multiforme."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,11687965,"In an attempt to find an effective treatment, we examined the efficacy of the non-steroidal anti-inflammatory drug, flurbiprofen, to suppress the growth of tumor cell lines derived from medulloblastoma and glioblastoma multiforme."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,inhibits,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,11687965,Results from cell proliferation assays have revealed that flurbiprofen effectively inhibits the growth of various tumor cells in a dose-dependent manner and causes a noticeable change in the progression of cells through cell cycle stages.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,11687965,"Treatment of tumor cells with flurbiprofen reduced the number of cells in G1 and G2, and significantly increased their numbers in S phase, suggesting that, flurbiprofen accelerates G1/S entry, and/or delays cell exit from S to G2/M stages."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,11687965,"Results from RNase protection assay and Western blot analysis showed that while treatment of cells with flurbiprofen causes a minor change in the RNA level of different cyclins, there is a significant decrease in the level of cyclin B protein upon flurbiprofen treatment."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11687965,"Results from RNase protection assay and Western blot analysis showed that while treatment of cells with flurbiprofen causes a minor change in the RNA level of different cyclins, there is a significant decrease in the level of cyclin B protein upon flurbiprofen treatment."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,11687965,"Results from RNase protection assay and Western blot analysis showed that while treatment of cells with flurbiprofen causes a minor change in the RNA level of different cyclins, there is a significant decrease in the level of cyclin B protein upon flurbiprofen treatment."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21586138,Percent mRNA remaining was determined by the comparative CT method (DeltaCT) for relative quantification.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,22801410,The purity of the culture was assessed by immunofluorescence using GFAP as an astrocyte marker and 85-95% of the cells are GFAP positive.
Lymphotoxin-alpha,Macrophage metalloelastase,unknown,Lymphotoxin-alpha,Macrophage metalloelastase,15687105,"Myristoyl-CoA:protein N-myristoyltransferase (NMT), an essential protein in Trypanosoma brucei and Leishmania major, catalyses the covalent attachment of the fatty acid myristate to the N-terminus of a range of target proteins."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,15687105,"Prior to cell death, depletion of ARL1 protein in bloodstream parasites results in abnormal morphology, including disintegration of the Golgi structure, multiple flagella and nuclei, and the presence of large numbers of vesicles."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,16624818,"However, expression of ubiF from a multicopy vector restores growth and Q synthesis for both mutants, although with a higher efficiency in the point mutant."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,1946356,"Although monocytic cells can provide a reservoir for viral production in vivo, their regulation of human immunodeficiency virus type 1 (HIV-1) transcription can be either latent, restricted, or productive."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,12147674,Studies using double immunofluorescent microscopy and ultrastructural analysis revealed physiological colocalization of gigaxonin with MAP1B in neurons.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15761952,"In this study, we present a novel method for the identification of multiprotein complexes from mammalian cells."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15761952,"By using the Strep-tag affinity chromatography method, enabling fast and simple one-step purification, coupled with competitive elution under physiological conditions, we successfully purified a PP2A holoenzyme protein complex from a cultured mammalian cancer cell line."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,17452516,"Taken together, the results indicate that the TREM-1 ligand is expressed by platelets, and the TREM-1/ligand interaction contributes to the amplification of LPS-induced PMN activation."
C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,unknown,C-X-C motif chemokine 9,Fms-related tyrosine kinase 3 ligand,17452516,Our results shed new light on our understanding of TREM-1 and its role in the innate inflammatory response in infections and might contribute to the development of future concepts to treat sepsis.
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,17452516,Our results shed new light on our understanding of TREM-1 and its role in the innate inflammatory response in infections and might contribute to the development of future concepts to treat sepsis.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,17452516,Our results shed new light on our understanding of TREM-1 and its role in the innate inflammatory response in infections and might contribute to the development of future concepts to treat sepsis.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,8506307,Coagulation factor IX is a serine protease for which high-level expression of biologically active protein in heterologous cells is limited due to inefficient proteolytic removal of the propeptide as well as vitamin K-dependent carboxylation of multiple amino-terminal glutamic acid residues.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,29203883,"Specific risk haploid types in the gene Abin-1 (TNFAIP3-interacting protein 1, or Tnip1) are strongly associated with a predisposition for autoimmune inflammatory diseases such as systemic lupus erythematosus (SLE) and psoriasis ."
C-C motif chemokine 7,Tumor necrosis factor,unknown,C-C motif chemokine 7,Tumor necrosis factor,29203883,"Specific risk haploid types in the gene Abin-1 (TNFAIP3-interacting protein 1, or Tnip1) are strongly associated with a predisposition for autoimmune inflammatory diseases such as systemic lupus erythematosus (SLE) and psoriasis ."
Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor,unknown,Fms-related tyrosine kinase 3 ligand,Tumor necrosis factor,29203883,"Specific risk haploid types in the gene Abin-1 (TNFAIP3-interacting protein 1, or Tnip1) are strongly associated with a predisposition for autoimmune inflammatory diseases such as systemic lupus erythematosus (SLE) and psoriasis ."
C-C motif chemokine 7,Tumor necrosis factor,unknown,C-C motif chemokine 7,Tumor necrosis factor,29203883,"Abin-1-/- mice die during late embryogenesis due to fetal liver cell death, anaemia and hypoplasia, which can be blocked by TNFalpha deficiency ."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,Protein-tyrosine phosphatase DEP-1 controls receptor tyrosine kinase FLT3 signaling.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"Fms-like tyrosine kinase 3 (FLT3) plays an important role in hematopoietic differentiation, and constitutively active FLT3 mutant proteins contribute to the development of acute myeloid leukemia."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,Little is known about the protein-tyrosine phosphatases (PTP) affecting the signaling activity of FLT3.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"To identify such PTP, myeloid cells expressing wild type FLT3 were infected with a panel of lentiviral pseudotypes carrying shRNA expression cassettes targeting different PTP."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"Out of 20 PTP tested, expressed in hematopoietic cells, or presumed to be involved in oncogenesis or tumor suppression, DEP-1 (PTPRJ) was identified as a PTP negatively regulating FLT3 phosphorylation and signaling."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,Stable 32D myeloid cell lines with strongly reduced DEP-1 levels showed site-selective hyperphosphorylation of FLT3.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"In particular, the sites pTyr-589, pTyr-591, and pTyr-842 involved in the FLT3 ligand (FL)-mediated activation of FLT3 were hyperphosphorylated the most."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"Similarly, acute depletion of DEP-1 in the human AML cell line THP-1 caused elevated FLT3 phosphorylation."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"Direct interaction of DEP-1 and FLT3 was demonstrated by ""substrate trapping"" experiments showing association of DEP-1 D1205A or C1239S mutant proteins with FLT3 by co-immunoprecipitation."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"Moreover, activated FLT3 could be dephosphorylated by recombinant DEP-1 in vitro."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,Enhanced FLT3 phosphorylation in DEP-1-depleted cells was accompanied by enhanced FLT3-dependent activation of ERK and cell proliferation.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,Stable overexpression of DEP-1 in 32D cells and transient overexpression with FLT3 in HEK293 cells resulted in reduction of FL-mediated FLT3 signaling activity.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,"Furthermore, FL-stimulated colony formation of 32D cells expressing FLT3 in methylcellulose was induced in response to shRNA-mediated DEP-1 knockdown."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,21262971,The data indicate that DEP-1 is negatively regulating FLT3 signaling activity and that its loss may contribute to but is not sufficient for leukemogenic cell transformation.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21262971,The data indicate that DEP-1 is negatively regulating FLT3 signaling activity and that its loss may contribute to but is not sufficient for leukemogenic cell transformation.
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,21262971,The data indicate that DEP-1 is negatively regulating FLT3 signaling activity and that its loss may contribute to but is not sufficient for leukemogenic cell transformation.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18006499,"Although the enzyme showed a broad specificity for reductants, reduced thioredoxin preferentially served as a reducing equivalent donor for this enzyme."
Interleukin-2,Interleukin-7,activates,Interleukin-2,Interleukin-7,9398404,IL-2 and IL-7 induce heterodimerization of STAT5 isoforms in human peripheral blood T lymphoblasts.
Interleukin-2,Interleukin-7,unknown,Interleukin-2,Interleukin-7,9398404,"We examined the contribution of the two isoforms of STAT5, STAT5A and STAT5B, to IL-2- and IL-7-induced activation of human peripheral blood T lymphoblasts."
Interleukin-2,Interleukin-7,unknown,Interleukin-2,Interleukin-7,9398404,"Both cytokines induced assembly of STAT5A and STAT5B containing complexes capable of binding to the interferon-gamma activation sequence (GAS), and these complexes rapidly translocated (within 1 min) into the nucleus of IL-2- or IL-7-treated cells."
Interleukin-2,Interleukin-7,unknown,Interleukin-2,Interleukin-7,9398404,The kinetics of this translocation were delayed in IL-7-treated as compared to IL-2-treated cells.
Interleukin-2,Interleukin-7,activates,Interleukin-2,Interleukin-7,9398404,IL-2 and IL-7 were equivalent in their ability to induce tyrosine phosphorylation of STAT5A and STAT5B and to facilitate binding of these STATs to an immobilized GAS element.
Interleukin-2,Interleukin-7,unknown,Interleukin-2,Interleukin-7,9398404,Both IL-2 and IL-7 induced substantial amounts of STAT5A/STAT5B heterodimerization.
Interleukin-2,Interleukin-7,activates,Interleukin-2,Interleukin-7,9398404,These data suggest that IL-2 and IL-7 induce assembly of STAT heterodimers in a similar manner and that subsequent cellular responses may be driven by induction of similar sets of genes.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,8754855,The lymphocyte-specific immunoglobulin mu heavy-chain gene intronic enhancer is regulated by multiple nuclear factors.
Fms-related tyrosine kinase 3 ligand,Interleukin-17A,unknown,Fms-related tyrosine kinase 3 ligand,Interleukin-17A,25024377,IL-17 is a proinflammatory cytokine implicated in the pathogenesis of autoimmune diseases including psoriasis.
C-C motif chemokine 7,Interleukin-17A,unknown,C-C motif chemokine 7,Interleukin-17A,25024377,"Lacking this compensatory mechanism, ACT1(D10N/D10N) T cells behave like ACT1-deficient T cells, exhibiting a dysregulated and hyperactive Th17 phenotype with overproduction of IL-22 and IL-17."
C-C motif chemokine 7,Interleukin-2,unknown,C-C motif chemokine 7,Interleukin-2,25024377,"Lacking this compensatory mechanism, ACT1(D10N/D10N) T cells behave like ACT1-deficient T cells, exhibiting a dysregulated and hyperactive Th17 phenotype with overproduction of IL-22 and IL-17."
Interleukin-17A,Interleukin-2,unknown,Interleukin-17A,Interleukin-2,25024377,"Lacking this compensatory mechanism, ACT1(D10N/D10N) T cells behave like ACT1-deficient T cells, exhibiting a dysregulated and hyperactive Th17 phenotype with overproduction of IL-22 and IL-17."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,15937107,"These two mutants had a dominant-negative effect, preventing endogenous wild-type hGBP-1 from efficiently redistributing after aluminum fluoride treatment."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21774791,"RESULTS: To understand the function of H2A modifications, we performed a systematic analysis of the histone H2A methylation status."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,21774791,Using an unbiased biochemical approach in combination with candidate assays we showed that protein arginine methyltransferase (PRMT) 1 and PRMT6 are unique in their ability to catalyse these modifications.
C-C motif chemokine 7,C-X-C motif chemokine 10,unknown,C-C motif chemokine 7,C-X-C motif chemokine 10,10219085,"We show that Paf1p, like Ctr9p, is required for efficient CLN2 transcription, whereas Cdc73p is not."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,26041935,"Owing to functional redundancies among other Poms, the mechanistic steps of this fusion event have been difficult to define further."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,7991565,"(i) Most Rab proteins contain two adjacent cysteine residues within one of the following C-terminal sequence motifs: -XXCC, -XCXC, or -CCXX; (ii) a Rab protein that ends in a -XCXC motif has been shown to be geranylgeranylated on both adjacent cysteine residues; and (iii) Rab proteins are substrates of a unique Rab-specific geranylgeranyltransferase."
Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,unknown,Fms-related tyrosine kinase 3 ligand,Lymphotoxin-alpha,10491391,"Fourth, the sites of aberrant accumulation of KIF5A or KIF5B in DRG or spinal cord do not exhibit costaining with KLC antibodies in mutants, suggesting that the aberrantly behaving KHC chains do so as a result of the absence of KLC, rather than an active influence of the KLC1 fragment."
Interleukin-2,Lymphotoxin-alpha,unknown,Interleukin-2,Lymphotoxin-alpha,17948050,Malt1 mutants that lack C-terminal ubiquitin acceptor lysines are impaired in rescuing NF-kappaB signaling and IL-2 production in Malt1-/- T cells.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,15060161,"We demonstrated that the acetyltransferase activity of p300 was required for efficient activation of transcription mediated by beta-catenin/Tcf4 and that the cooperation between p300 and beta-catenin was severely reduced by the K345R mutation, implying that acetylation of beta-catenin plays a part in the coactivation of beta-catenin by p300."
C-X-C motif chemokine 9,Lymphotoxin-alpha,regulates,C-X-C motif chemokine 9,Lymphotoxin-alpha,15060161,"Thus, our results describe a new mechanism by which p300 might regulate beta-catenin transcriptional activity."
Lymphotoxin-alpha,Macrophage metalloelastase,unknown,Lymphotoxin-alpha,Macrophage metalloelastase,147195,"Screening of mutagenized cultures was either without an enrichment step, or after enrichment using the antibiotic netropsin (Young et al."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,18245329,These findings encourage the incorporation of this orthologous gene list into cancer epidemiology studies and suggest further analysis of heterozygous phenotypes in yeast as models of human disease resulting from haplo-insufficiency.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,24012004,"Although protein quality control (PQC) is generally perceived as important for the development of the nervous system, the specific mechanisms of neuronal PQC have remained poorly understood."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,11735028,"Holocarboxylase synthetase (HLCS) is an enzyme that catalyzes the incorporation of biotin into apo-carboxylases, and its deficiency causes biotin-responsive multiple carboxylase deficiency."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,2083253,"TCF-1 alpha, originally identified and purified through its binding sites on the HIV-1 promoter, was found to bind to the TCR alpha enhancer and to promoters for several genes expressed at significantly earlier stages of T-cell development than the TCR alpha gene (e.g., p56lck and CD3 delta)."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,2302185,The transcription of the human immunodeficiency virus type 1 (HIV-1) is under the control of cellular proteins that bind to the viral long terminal repeat (LTR).
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,20495530,"Although ubiquitylated Frizzled underwent lysosomal trafficking and degradation, UBPY/USP8-dependent deubiquitylation led to recycling of Frizzled to the plasma membrane, thereby elevating its surface level."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,26545399,"The methyltransferase responsible for Lys(79) methylation of human eEF1A is shown to be N6AMT2, previously documented as a putative N(6)-adenine-specific DNA methyltransferase."
C-C motif chemokine 3,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 3,Fms-related tyrosine kinase 3 ligand,20159461,"0.5 mg of protein was incubated overnight with a 2-fold molar excess of fluorescin-5-maleimide or tetramethylrhodamine-5-maleimide (Molecular Probes, Inc.)."
C-X-C motif chemokine 9,Lymphotoxin-alpha,unknown,C-X-C motif chemokine 9,Lymphotoxin-alpha,23755176,We hypothesized that the delay in karyogamy might exacerbate the extra-spore phenotype of mal3Delta cells.
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,binds,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,15485929,We have recently shown that PRMT5 can interact with flag-tagged BRG1- and hBRM-based hSWI/SNF chromatin remodelers and that both complexes can specifically methylate histones H3 and H4.
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,12421820,"However, the direct effect of acetylation on Mdm2-mediated ubiquitination of p53 is still lacking because of technical difficulties."
C-X-C motif chemokine 9,Lymphotoxin-alpha,regulates,C-X-C motif chemokine 9,Lymphotoxin-alpha,21296186,"It is likely that such Coq8-mediated phosphorylation of Coq polypeptides might function to regulate Q6 synthesis, and thus also account for the COQ8 multicopy suppression of the coq10 mutant."
C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,unknown,C-C motif chemokine 7,Fms-related tyrosine kinase 3 ligand,24481253,"The function of IL-37 in transfected bone marrow-derived macrophages is nucleotide-binding oligomerization domain-like receptor family, pyrin domain containing 3 (NLRP3) inflammasome-dependent, because IL-37 transfection in apoptosis-associated speck-like protein containing a carboxyl-terminal caspase recruitment domain- and NLRP3-deficient cells does not reduce levels of IL-6 and IL-1beta upon LPS stimulation."
C-C motif chemokine 7,Interleukin-1 beta,unknown,C-C motif chemokine 7,Interleukin-1 beta,24481253,"The function of IL-37 in transfected bone marrow-derived macrophages is nucleotide-binding oligomerization domain-like receptor family, pyrin domain containing 3 (NLRP3) inflammasome-dependent, because IL-37 transfection in apoptosis-associated speck-like protein containing a carboxyl-terminal caspase recruitment domain- and NLRP3-deficient cells does not reduce levels of IL-6 and IL-1beta upon LPS stimulation."
C-C motif chemokine 7,Interleukin-6,unknown,C-C motif chemokine 7,Interleukin-6,24481253,"The function of IL-37 in transfected bone marrow-derived macrophages is nucleotide-binding oligomerization domain-like receptor family, pyrin domain containing 3 (NLRP3) inflammasome-dependent, because IL-37 transfection in apoptosis-associated speck-like protein containing a carboxyl-terminal caspase recruitment domain- and NLRP3-deficient cells does not reduce levels of IL-6 and IL-1beta upon LPS stimulation."
Fms-related tyrosine kinase 3 ligand,Interleukin-1 beta,unknown,Fms-related tyrosine kinase 3 ligand,Interleukin-1 beta,24481253,"The function of IL-37 in transfected bone marrow-derived macrophages is nucleotide-binding oligomerization domain-like receptor family, pyrin domain containing 3 (NLRP3) inflammasome-dependent, because IL-37 transfection in apoptosis-associated speck-like protein containing a carboxyl-terminal caspase recruitment domain- and NLRP3-deficient cells does not reduce levels of IL-6 and IL-1beta upon LPS stimulation."
Fms-related tyrosine kinase 3 ligand,Interleukin-6,unknown,Fms-related tyrosine kinase 3 ligand,Interleukin-6,24481253,"The function of IL-37 in transfected bone marrow-derived macrophages is nucleotide-binding oligomerization domain-like receptor family, pyrin domain containing 3 (NLRP3) inflammasome-dependent, because IL-37 transfection in apoptosis-associated speck-like protein containing a carboxyl-terminal caspase recruitment domain- and NLRP3-deficient cells does not reduce levels of IL-6 and IL-1beta upon LPS stimulation."
Interleukin-1 beta,Interleukin-6,unknown,Interleukin-1 beta,Interleukin-6,24481253,"The function of IL-37 in transfected bone marrow-derived macrophages is nucleotide-binding oligomerization domain-like receptor family, pyrin domain containing 3 (NLRP3) inflammasome-dependent, because IL-37 transfection in apoptosis-associated speck-like protein containing a carboxyl-terminal caspase recruitment domain- and NLRP3-deficient cells does not reduce levels of IL-6 and IL-1beta upon LPS stimulation."
C-C motif chemokine 7,Lymphotoxin-alpha,binds,C-C motif chemokine 7,Lymphotoxin-alpha,15601839,"Via a distinct N-terminal domain, individual cullins bind to a protein motif present in multiple proteins to recruit specific substrates."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,19020623,"The inhibitory domain of calpastatin recognizes multiple lower affinity sites present only in the calcium-bound form of the enzyme, resulting in an interaction that is tight, specific and calcium dependent."
C-C motif chemokine 7,Lymphotoxin-alpha,unknown,C-C motif chemokine 7,Lymphotoxin-alpha,28447717,The results demonstrated that knockdown of ZFPL1 was able to significantly increase cell death rate.
